repo	files	Layer-refs	resource-refs	Scope-refs	fork-refs	race-refs	catch-refs	gen-calls	direct-loop-bodies	nested-gen-bodies
alchemy-run_alchemy	11805	4984	509	127	60	5	6612	15834	472	3658
anomalyco_opencode	3253	852	493	162	284	13	360	3835	136	351
brandhaug_b2b-saas-starter	336	130	27	0	1	0	6	401	10	39
contentlayerdev_contentlayer	302	0	0	0	0	0	0	0	0	0
dearlordylord_huly-mcp	861	268	49	11	34	3	24	3929	49	82
dhravya_webpull	11	0	0	0	0	0	5	7	3	0
effect-deprecated_otel	32	0	0	0	0	0	0	0	0	0
effect-ts_language-service	803	189	30	0	6	3	75	411	5	18
effect-ts_vscode-extension	38	13	22	2	21	1	8	58	2	12
embedded-insurance_effect-use	34	23	1	0	0	0	4	0	0	0
ethanniser_effectis	20	34	14	3	10	0	47	116	4	11
floydspace_effect-aws	548	683	68	3	0	0	73	183	1	4
gvasilei_autoreviewer	15	16	0	0	0	0	1	10	0	0
jobflow-io_effect-playwright	41	10	16	2	16	0	0	118	3	7
joelhooks_pdf-brain	60	41	4	3	0	0	5	177	16	16
keanemind_jjk	84	6	7	10	4	0	13	67	7	2
kitlangton_ghui	297	34	1	0	0	0	31	92	5	2
kitlangton_motel	102	47	2	9	5	0	2	26	0	4
kitlangton_tailcode	16	6	4	5	3	0	3	6	0	1
latitude-dev_latitude-llm	4248	1985	6	0	1	0	300	2212	137	136
mateokruk_effect-slack	69	21	0	0	0	0	7	101	3	4
mcrovero_effect-nextjs	47	70	0	0	0	0	11	62	1	16
mpsuesser_effect-oxlint	26	1	0	0	0	0	0	49	0	0
pauljphilp_effectpatterns	606	110	39	0	2	0	101	931	81	52
sandromaglione_menimal	15	17	0	0	0	0	1	18	2	2
sukovanej_effect-http	114	18	8	0	4	0	5	105	3	1
tim-smart_dfx	49	52	9	1	14	2	18	21	2	2
tim-smart_lalph	69	79	33	0	6	3	9	65	2	6
tylors_typed-fx	291	0	2	0	15	0	4	15	4	0
typeonce-dev_effect-machine	209	27	71	7	87	1	16	518	68	30
