alchemy-run_alchemy 11805 files; 7470 with resolved imports
anomalyco_opencode 3253 files; 822 with resolved imports
brandhaug_b2b-saas-starter 336 files; 103 with resolved imports
contentlayerdev_contentlayer 302 files; 0 with resolved imports
dearlordylord_huly-mcp 861 files; 423 with resolved imports
dhravya_webpull 11 files; 3 with resolved imports
effect-deprecated_otel 32 files; 0 with resolved imports
effect-ts_language-service 803 files; 425 with resolved imports
effect-ts_vscode-extension 38 files; 19 with resolved imports
embedded-insurance_effect-use 34 files; 16 with resolved imports
ethanniser_effectis 20 files; 16 with resolved imports
floydspace_effect-aws 548 files; 290 with resolved imports
gvasilei_autoreviewer 15 files; 10 with resolved imports
jobflow-io_effect-playwright 41 files; 23 with resolved imports
joelhooks_pdf-brain 60 files; 33 with resolved imports
keanemind_jjk 84 files; 21 with resolved imports
kitlangton_ghui 297 files; 32 with resolved imports
kitlangton_motel 102 files; 28 with resolved imports
kitlangton_tailcode 16 files; 7 with resolved imports
latitude-dev_latitude-llm 4248 files; 1271 with resolved imports
mateokruk_effect-slack 69 files; 51 with resolved imports
mcrovero_effect-nextjs 47 files; 35 with resolved imports
mpsuesser_effect-oxlint 26 files; 11 with resolved imports
pauljphilp_effectpatterns 606 files; 259 with resolved imports
sandromaglione_menimal 15 files; 11 with resolved imports
sukovanej_effect-http 114 files; 58 with resolved imports
tim-smart_dfx 49 files; 33 with resolved imports
tim-smart_lalph 69 files; 51 with resolved imports
tylors_typed-fx 291 files; 54 with resolved imports
typeonce-dev_effect-machine 209 files; 106 with resolved imports
{"files":24401,"calls":48292,"refs":49188,"gens":29367,"parseErrorFiles":35,"importedFiles":11681,"sourceDigest":"41ceead9eccc4fac95cdd626a6fe126e92c7fe0df1273dbc4bc999126b3416ed"}
