module	original_radius38	historical_module	raw_closed	admissible_closed	total_theorems	source_path	source_sha256	olean_sha256	module_log	module_log_sha256	process_id
Drivers.Corpus	false		0	0	0	tools/Drivers/Corpus.lean	b1a35d06f0129146ea906a43209b29587c76bbb7b554dce9519b14cb7e391618	fe44694b4e9238745877459d8117bac35b1663d27d90c219164b5ccc4ba738f2	before-fill/module-logs/Drivers.Corpus.log	8c62d323ff4abb2730619fd06c723a59b2f8c6a1829b396f8e3fc70ac624f76d	001-Drivers.Corpus
Drivers.ForeignCorpus	false		0	0	0	tools/Drivers/ForeignCorpus.lean	ea75571827e7011fbb3851ae7c2965d68246903a8c6f99801def9fcad30e84f5	414cd7ca59e20e87397387be434f98c6c5a53eb4cadee898ed480dfd0fdf3844	before-fill/module-logs/Drivers.ForeignCorpus.log	d54064d5aba9426ce82e2d0200f504159c47707a0dcc2d23f3eafbf73aad8815	000-ZeroCandidates
Drivers.ProgramStructureCheck	false		0	0	0	tools/Drivers/ProgramStructureCheck.lean	317ae7e5c265eeafbfeb06f250fe9a8c60c1d7ce4717015b403a85613539f605	a7fc4c1d0d6447af8b07adc8898d6858b00d27ba56185f7ac53fe1e7510b0254	before-fill/module-logs/Drivers.ProgramStructureCheck.log	2979993be09a6348630dd2a8ef56aaf671d55a9f0af61a756fb824509dee76e3	002-Drivers.ProgramStructureCheck
Drivers.Styles	false		0	0	0	tools/Drivers/Styles.lean	9f1aa07251c621edb387e335eb4eab3fb79b0b671d469e5e23336f4e43bee299	30efb432dd2ab403608c1494f2d9987d38ab5b7522c16db92da6570dd5bcd8f0	before-fill/module-logs/Drivers.Styles.log	430dcd70e5761a2f4fda2af8c532da355efb7def7ae020df712e5cbb3c5229e6	000-ZeroCandidates
Drivers.TsGen	false		0	0	0	tools/Drivers/TsGen.lean	15405b6d4fe3bb78235ac16059fbeb3d30b0fd5d1106277fc1e83dd12bbf8e3e	e33936e49b461d600f6528d8bea168931ac2a1d8cccb040eea5e65c85ffc8fee	before-fill/module-logs/Drivers.TsGen.log	7c1d8f6f22d62586932f6140a13ed91e5a048487a3248afcdefd0e7aeeb1faef	003-Drivers.TsGen
Effect4	false		0	0	0	src/Effect4.lean	c16242e9e801267c350474ea60d97418b0d928e4bdef983e75145cbd6bba7496	617de5a439bda7e24193ac15c39f1f15c694f784b4ff7bc95e166bf4ff40bc73	before-fill/module-logs/Effect4.log	866fb61eaf7f6a0ec5a4168ebb66435538f19282ff467bb12600138f489f5e95	000-ZeroCandidates
Effect4.Api	false		0	0	3	src/Effect4/Api.lean	990752e4a83ef1090897a026b4063c87d5934951d87ee01f2edfcffbb5c154b1	9f52b78bf60ebf09b832f03bd1b7769f60e29da9c39fb68ed45f064aa8f7cb11	before-fill/module-logs/Effect4.Api.log	9c86ef1dc898a10788aae77abf58060c4f8ce43b52b39fff89540234e112b04d	004-Effect4.Api
Effect4.Api.Derived	false		10	10	18	src/Effect4/Api/Derived.lean	fd260d0e64f26b02d505734e40dcb478e7441204e94fe7f98a62a8930bfb8787	ea160b96533bea58eb1bca3e209952203eb746674b7875b4fcd72d88e14b705f	before-fill/module-logs/Effect4.Api.Derived.log	a900ef0f8372b8331f360a86f29e337e989df2a5930171e46ec473a1c21794cb	005-Effect4.Api.Derived
Effect4.Api.Frontier	false		0	0	0	src/Effect4/Api/Frontier.lean	caa60672eb3f319a57796c3631a68fb44019e77a57cd759841ecd87e678db637	3b327b8c6918c52a364296950edaa4f0bd74b405b29c3e0f22d20b9c28a0c3de	before-fill/module-logs/Effect4.Api.Frontier.log	1ef379fa4d5b49dd9311f3e27bf3c079699c74bf2e4eca15efb75ca8c07a313e	000-ZeroCandidates
Effect4.Api.HostProtocol	false		0	0	0	src/Effect4/Api/HostProtocol.lean	dcec8adce472f8348a080419a15bee1e0892999fd0a58220c6a2ce64fd46d451	d81f9652cae4009ee40c69596e6d5e4248ca0e0823868609271abae60d492374	before-fill/module-logs/Effect4.Api.HostProtocol.log	14765d757d88e2d274fd4f88f6409ebaab906946243219ef62c4db3013ffe0d4	000-ZeroCandidates
Effect4.Api.HostSession	true	Effect4.Api.HostSession	0	0	0	src/Effect4/Api/HostSession.lean	010480e607f88ce4230b7f44463bf3e1047c854aa4f8be07d1cd2a2f94798497	301b964aa44f744c12cf8f4263e5f3fc8d18c05686d9b8807cbf2b2fd77049aa	before-fill/module-logs/Effect4.Api.HostSession.log	d87701b6cf22c91376e5c30358ad1a46434bc84bdddfaecb137797d31cc97c3a	000-ZeroCandidates
Effect4.Api.RunnerDerived	false		24	24	105	src/Effect4/Api/RunnerDerived.lean	57fe4bec591e4b86c06b6c7a31259d5ce86dbc7eb56613b6b86fa464fc4af694	698a009a8f14bc0bd883eb85172c94e6dcf7f5bfd1e9d8afb09d81fdcdae8472	before-fill/module-logs/Effect4.Api.RunnerDerived.log	78442b076566973d8a553bfbc15a4eaef23db1252ce1c0c6d6df4b0c348ba35b	006-Effect4.Api.RunnerDerived
Effect4.Api.Supervision	false		0	0	0	src/Effect4/Api/Supervision.lean	b8afd31a0001e32f10f70cf54f5a1c9e784be245e3220c60903ad056d3d5b875	ff5acd952bbe3f47187949c53316ffd28cc9df901f8c4c2517897b33a5d45e91	before-fill/module-logs/Effect4.Api.Supervision.log	5baca47269a046d45db278328564c83734c73bbdaa1691fdeee7b922108c4c3d	000-ZeroCandidates
Effect4.Api.TestClock	false		0	0	0	src/Effect4/Api/TestClock.lean	09696211eba234065e3b7ca7ce23af9b1fcda9a65dc6242fe801f504be73c7f3	dbeffae997b8d4b30132bea952329efac9f12c3bbc3e67bd2f7f86167b75c752	before-fill/module-logs/Effect4.Api.TestClock.log	1c3a6322e00ee71e81dfae104625381022c60707ceade73ffd22caa60e544966	000-ZeroCandidates
Effect4.Codegen.Authoring.Forms	false		0	0	0	src/Effect4/Codegen/Authoring/Forms.lean	bfdec551b64004792ebbfd01f35fcfe096fc951ef2c8209b18a1e747eac55911	b4598321b4ac0ec84debd095ba2b2772950b1e8220a4cd7a0848610de7baf721	before-fill/module-logs/Effect4.Codegen.Authoring.Forms.log	e811f6e4855dd8000263e957c5fe97f11d9d051803ae1a2cb47d796706a47b56	000-ZeroCandidates
Effect4.Codegen.SourceBindings	false		0	0	1	src/Effect4/Codegen/SourceBindings.lean	b76c313331a227ee6bba3624262c7225a6d07bc37c99ce0b72477f4c0aee14a3	b76e170a47e1878d1c394e8534a71e4490395fe3facc691a91cf5eafd128ca6e	before-fill/module-logs/Effect4.Codegen.SourceBindings.log	bbcaf151f9888c4c82ea0a175f467228a6e59ef01c3f402724bc2e3f1c579f24	000-ZeroCandidates
Effect4.Codegen.Types	false		4	4	5	src/Effect4/Codegen/Types.lean	149dd7ac7e44bfdca4105a4cf6bc2f86bb992b06f10417358c2d4c8eac84213c	e312348e9496b49d93da97ab35179d0413bf8a97051619e68c2cba3661db39ee	before-fill/module-logs/Effect4.Codegen.Types.log	c7588e400d6e3107e014c9729aa6807a55f709113d0e4786325bb6ec62446b7b	007-Effect4.Codegen.Types
Effect4.Data.Ascii	false		2	2	8	src/Effect4/Data/Ascii.lean	a738d5ae14ef9ce71f691ab7fe545346270d204097218dd1e8f0820df340bc3f	39092961195d4e1e119464819b4b4991d372963d0401337770c1a111a9bcd1b1	before-fill/module-logs/Effect4.Data.Ascii.log	2add7000f747ed7c1b14bec784b0e4b8f8264a0c955ace492b9eee57d061044c	008-Effect4.Data.Ascii
Effect4.Data.ClockMillis	false	Effect4.Data.ClockMillis	0	0	8	src/Effect4/Data/ClockMillis.lean	b08f0a01109f73c89ad4481373e8d3efd059d886c1fa3a2fcaa03a596beb063c	e83d8aebaed01c93ab41daa7e23b9844072eb8e7c2ec79dcbbb7a00dfede49e0	before-fill/module-logs/Effect4.Data.ClockMillis.log	ed62ed50b37e40e3881041e9c3337175201fc3eb7f3d00a42915bca28083f6c7	009-Effect4.Data.ClockMillis
Effect4.Data.JsonNumber	false		0	0	0	src/Effect4/Data/JsonNumber.lean	f5f8c5098a3386eb68fd1f0b47dc7d2e6605c5bd01b47f33c892ee5531d34b76	00b4402f065b5a319bc7d91529c213d005f6d70f5d2f3c8d87b012e351a0a3f5	before-fill/module-logs/Effect4.Data.JsonNumber.log	b8dc29270b4c5cc5498171757a363ae036bcf4dd94721d1c5f5f2eaacc4e52a8	000-ZeroCandidates
Effect4.Laws	false		0	0	0	src/Effect4/Laws.lean	992ee86d7b61b2bc7b97b1a871d4afa0cd92073c4691db6ad3a25ab407328222	3cb285e49f58633444cb5509d191d39979113512e849a94117414c535cda62bc	before-fill/module-logs/Effect4.Laws.log	d142048bff0725054b2fa461f243c8467882f064dc5ad5c6b6ab39aa98634992	000-ZeroCandidates
Effect4.Laws.Api.HostSession	true	Effect4.Laws.Api.HostSession	3	3	20	src/Effect4/Laws/Api/HostSession.lean	698a8e0c47aba2236d0ad8c5e3cd3de33a2fb2bab6552757a866a992d829e5f8	906dbdf6f1de41f07da64696474ab018eecadc1212516ed1d5108ebf1981c114	before-fill/module-logs/Effect4.Laws.Api.HostSession.log	00084871fd6d0e95cdb8d7055f029984847ee8e00de12ee0b3f3a9e930cd1e97	010-Effect4.Laws.Api.HostSession
Effect4.Laws.Api.ModuleReadable	false		1	0	9	src/Effect4/Laws/Api/ModuleReadable.lean	ea070274537ce0b95c8c7c32822949083a30e129d029d76732044491f0feecbe	75b4f76cd7db14b3ad4a387e35bb590d7eeae90fea621a05eaf998a28d7b62a5	before-fill/module-logs/Effect4.Laws.Api.ModuleReadable.log	31616e5ab349ed8f2682841368ce14c6ab1f89dbef1bc227390acbfe6be3f371	011-Effect4.Laws.Api.ModuleReadable
