index	module	result	source	log
0	OCaml5.Eff.Emit	pass	direct invocation	placement-build-logs/000-OCaml5.Eff.Emit.log
1	OCaml5.Eff.Goldens	pass	direct invocation	placement-build-logs/001-OCaml5.Eff.Goldens.log
2	Drivers.Styles	pass	direct invocation	placement-build-logs/002-Drivers.Styles.log
3	Test.Program.Gen	pass	direct invocation	placement-build-logs/003-Test.Program.Gen.log
4	Drivers.ForeignCorpus	pass	direct invocation	placement-build-logs/004-Drivers.ForeignCorpus.log
5	Drivers.Corpus	pass	direct invocation	placement-build-logs/005-Drivers.Corpus.log
6	Drivers.ProgramStructureCheck	pass	direct invocation	placement-build-logs/006-Drivers.ProgramStructureCheck.log
7	Drivers.TsGen	pass	direct invocation	placement-build-logs/007-Drivers.TsGen.log
8	Effect4.Laws.Api.ModuleReadable	pass	direct invocation	placement-build-logs/008-Effect4.Laws.Api.ModuleReadable.log
9	Effect4.Laws.Machine.Clock	pass	direct invocation	placement-build-logs/009-Effect4.Laws.Machine.Clock.log
10	Effect4.Laws.Machine.Folds.Stores	pass	direct invocation	placement-build-logs/010-Effect4.Laws.Machine.Folds.Stores.log
11	Effect4.Laws.Machine.Folds.Val	pass	direct invocation	placement-build-logs/011-Effect4.Laws.Machine.Folds.Val.log
12	Effect4.Laws.Program.Admits	pass	fresh dependency build	placement-build-logs/012-Effect4.Laws.Program.Admits.log
13	Effect4.Laws.Program.Folds.Checker	pass	fresh dependency build	placement-build-logs/013-Effect4.Laws.Program.Folds.Checker.log
14	Effect4.Laws.Program.Folds.Straight	pass	fresh dependency build	placement-build-logs/014-Effect4.Laws.Program.Folds.Straight.log
15	Effect4.Laws.Program.Folds.Looped	pass	fresh dependency build	placement-build-logs/015-Effect4.Laws.Program.Folds.Looped.log
16	Effect4.Laws.Program.Folds.Projections	pass	fresh dependency build	placement-build-logs/016-Effect4.Laws.Program.Folds.Projections.log
17	Effect4.Laws.Program.Folds.Provision	pass	fresh dependency build	placement-build-logs/017-Effect4.Laws.Program.Folds.Provision.log
