theorem	axioms
Effect4.Api.compile.eq_1	[propext]
Effect4.Api.replayChecked.eq_1	[propext, Quot.sound]
Effect4.Arm.all_nodup	[]
Effect4.Arm.cases_receipt	[]
Effect4.Arm.contA.sizeOf_spec	[]
Effect4.Arm.contAll.sizeOf_spec	[]
Effect4.Arm.contAll_not_demandable	[propext]
Effect4.Arm.contE.sizeOf_spec	[]
Effect4.Arm.demandable_eq	[]
Effect4.Arm.mem_all	[propext]
Effect4.Arm.ofNat_ctorIdx	[]
Effect4.Cause.annotate_reasons	[propext, Quot.sound]
Effect4.Cause.combine_empty_left	[]
Effect4.Cause.combine_empty_right	[]
Effect4.Cause.combine_no_new_reason	[propext]
Effect4.Cause.combine_nodup	[propext]
Effect4.Cause.combine_order	[propext, Quot.sound]
Effect4.Cause.combine_reasons	[]
Effect4.Cause.combine_self	[propext, Quot.sound]
Effect4.Cause.dedup_cons	[]
Effect4.Cause.dedup_nil	[]
Effect4.Cause.dedup_nodup	[propext]
Effect4.Cause.dedup_of_nodup	[propext, Quot.sound]
Effect4.Cause.die_reasons	[]
Effect4.Cause.empty_reasons	[]
Effect4.Cause.eq_iff	[]
Effect4.Cause.eq_iff_pointwise	[propext]
Effect4.Cause.ext	[]
Effect4.Cause.fail_reasons	[]
Effect4.Cause.hasInterrupts.eq_1	[]
Effect4.Cause.hasInterrupts_die	[]
Effect4.Cause.hasInterrupts_empty	[]
Effect4.Cause.hasInterrupts_fail	[]
Effect4.Cause.hasInterrupts_iff	[propext, Quot.sound]
Effect4.Cause.hasInterrupts_interrupt	[]
Effect4.Cause.interrupt_reasons	[]
Effect4.Cause.mem_combine	[propext]
Effect4.Cause.mem_dedup	[propext]
Effect4.Cause.mem_stripFail	[propext]
Effect4.Cause.mem_stripFail._simp_1_2	[propext]
Effect4.Cause.mem_stripFail._simp_1_3	[propext]
Effect4.Cause.mk.inj	[]
Effect4.Cause.mk.injEq	[propext]
Effect4.Cause.mk.sizeOf_spec	[]
Effect4.Cause.sanitize_clean	[propext]
Effect4.Cause.squash_defect	[]
Effect4.Cause.squash_die	[]
Effect4.Cause.squash_empty	[]
Effect4.Cause.squash_emptyCause_iff	[]
Effect4.Cause.squash_error	[]
Effect4.Cause.squash_fail	[]
Effect4.Cause.squash_fail_over_die	[]
Effect4.Cause.squash_interrupt	[]
Effect4.Cause.squash_interrupted	[]
Effect4.Cause.stripFail.eq_1	[]
Effect4.Cause.stripFail_nodup	[propext]
Effect4.ContAnswer.deferred.inj	[]
Effect4.ContAnswer.deferred.injEq	[propext]
Effect4.ContAnswer.deferred.sizeOf_spec	[]
Effect4.ContAnswer.empty.sizeOf_spec	[]
Effect4.ContAnswer.frame.inj	[]
Effect4.ContAnswer.frame.injEq	[propext]
Effect4.ContAnswer.frame.sizeOf_spec	[]
Effect4.ContAnswer.replacement.inj	[]
Effect4.ContAnswer.replacement.injEq	[propext]
Effect4.ContAnswer.replacement.sizeOf_spec	[]
Effect4.Exit.mergeFinalizer.eq_1	[]
Effect4.Exit.mergeFinalizer.eq_2	[]
Effect4.Exit.mergeFinalizer.eq_3	[]
Effect4.Exit.restoreAfterFinalizer.eq_1	[]
Effect4.FrameEvent.deferred.inj	[]
Effect4.FrameEvent.deferred.injEq	[propext]
Effect4.FrameEvent.deferred.sizeOf_spec	[]
Effect4.FrameEvent.finalizersRun_cons_popped	[]
Effect4.FrameEvent.finalizersRun_cons_ran	[]
Effect4.FrameEvent.finalizersRun_nil	[]
Effect4.FrameEvent.popped.inj	[]
Effect4.FrameEvent.popped.injEq	[propext]
Effect4.FrameEvent.popped.sizeOf_spec	[]
Effect4.FrameEvent.poppedFrame?.eq_1	[]
Effect4.FrameEvent.poppedFrame?.eq_2	[]
Effect4.FrameEvent.poppedFrame?.eq_3	[]
Effect4.FrameEvent.poppedFrame?.eq_4	[]
Effect4.FrameEvent.poppedFrame?.eq_5	[]
Effect4.FrameEvent.poppedFrame?.eq_6	[]
Effect4.FrameEvent.poppedFrame?.eq_7	[]
Effect4.FrameEvent.poppedFrames.eq_1	[]
Effect4.FrameEvent.poppedFrames_cons_popped	[]
Effect4.FrameEvent.poppedFrames_nil	[]
Effect4.FrameEvent.pushed.inj	[]
Effect4.FrameEvent.pushed.injEq	[propext]
Effect4.FrameEvent.pushed.sizeOf_spec	[]
Effect4.FrameEvent.ranContAll.inj	[]
Effect4.FrameEvent.ranContAll.injEq	[propext]
Effect4.FrameEvent.ranContAll.sizeOf_spec	[]
Effect4.FrameEvent.ranFinalizer.inj	[]
Effect4.FrameEvent.ranFinalizer.injEq	[propext]
Effect4.FrameEvent.ranFinalizer.sizeOf_spec	[]
Effect4.FrameEvent.substituted.inj	[]
Effect4.FrameEvent.substituted.injEq	[propext]
Effect4.FrameEvent.substituted.sizeOf_spec	[]
Effect4.FrameEvent.yielded.inj	[]
Effect4.FrameEvent.yielded.injEq	[propext]
Effect4.FrameEvent.yielded.sizeOf_spec	[]
Effect4.FrameFiber.continueFrom.eq_1	[propext]
Effect4.FrameFiber.continueFrom_cases	[propext]
Effect4.FrameFiber.ensure_stack_cases	[propext]
Effect4.FrameFiber.getCont.eq_1	[propext]
Effect4.FrameFiber.getContLive.eq_1	[propext, Quot.sound]
Effect4.FrameFiber.getContLive_deferred_discarded	[propext, Quot.sound]
Effect4.FrameFiber.getContLive_deferred_kept	[propext, Quot.sound]
Effect4.FrameFiber.getContLive_eq_getCont	[propext, Quot.sound]
Effect4.FrameFiber.getContLive_false_eq_getCont	[propext, Quot.sound]
Effect4.FrameFiber.getContLive_while	[propext, Quot.sound]
Effect4.FrameFiber.getCont_answer_cause	[propext, Quot.sound]
Effect4.FrameFiber.getCont_answer_hasArm	[propext]
Effect4.FrameFiber.getCont_carriedCause_no_pending	[propext, Quot.sound]
Effect4.FrameFiber.getCont_deferred	[propext]
Effect4.FrameFiber.getCont_deferred_pops_nothing	[propext]
Effect4.FrameFiber.getCont_empty_stack	[propext]
Effect4.FrameFiber.getCont_eq_popFrom	[propext]
Effect4.FrameFiber.getCont_events_cause	[propext, Quot.sound]
Effect4.FrameFiber.getCont_fiber_cause	[propext, Quot.sound]
Effect4.FrameFiber.getCont_fiber_uninterrupted	[propext]
Effect4.FrameFiber.getCont_mask_stops_skip	[propext]
Effect4.FrameFiber.getCont_never_defers	[propext]
Effect4.FrameFiber.getCont_no_pending	[propext, Quot.sound]
Effect4.FrameFiber.getCont_popped_cause	[propext, Quot.sound]
Effect4.FrameFiber.getCont_ranContAll	[propext]
Effect4.FrameFiber.getCont_skip_clears_deferred	[propext]
Effect4.FrameFiber.getCont_skip_of_no_pending_cause	[propext, Quot.sound]
Effect4.FrameFiber.interrupt_skips_every_handler	[propext, Quot.sound]
Effect4.FrameFiber.interrupted.eq_1	[]
Effect4.FrameFiber.interrupted_eq	[]
Effect4.FrameFiber.interruptibleRegion.eq_1	[]
Effect4.FrameFiber.interruptibleRegion_already	[propext]
Effect4.FrameFiber.interruptibleRegion_masked	[propext]
Effect4.FrameFiber.joinPushed._sparseCasesOn_1.else_eq	[propext]
Effect4.FrameFiber.joinPushed.eq_1	[propext]
Effect4.FrameFiber.joinPushed_of_answer	[propext]
Effect4.FrameFiber.joinPushed_of_empty	[propext]
Effect4.FrameFiber.masked_eq	[]
Effect4.FrameFiber.mk.inj	[]
Effect4.FrameFiber.mk.injEq	[propext]
