Effect4.Api.M1Origin.forkScoped_none_origins: 21/21 binders; law Effect4.Api.forkScoped_none_origins; exact true; adapter false
Effect4.Api.M1Origin.spawn_fibers: 18/18 binders; law Effect4.Api.spawn_fibers; exact true; adapter false
Effect4.Api.M1Origin.spawn_origins: 19/19 binders; law Effect4.Api.spawn_origins; exact true; adapter false
Effect4.Api.M1Origin.start_origins: 16/16 binders; law Effect4.Api.start_origins; exact true; adapter false
Effect4.Api.M1Origin.status_persists: 8/8 binders; law Effect4.Api.status_persists; exact true; adapter false
Effect4.Api.M1Trace.action_forkIn_forked: 21/21 binders; law Effect4.Api.action_forkIn_forked; exact true; adapter false
Effect4.Api.M1Trace.action_forkScoped_forked: 22/22 binders; law Effect4.Api.action_forkScoped_forked; exact true; adapter false
Effect4.Api.M1Trace.action_fork_forked: 20/20 binders; law Effect4.Api.action_fork_forked; exact true; adapter false
Effect4.Api.M1Trace.forkFinalizers_forked: 17/17 binders; law Effect4.Api.forkFinalizers_forked; exact true; adapter false
Effect4.Api.M1Trace.forkIn_forked: 20/20 binders; law Effect4.Api.forkIn_forked; exact true; adapter false
Effect4.Api.M1Trace.forkScoped_forked: 21/21 binders; law Effect4.Api.forkScoped_forked; exact true; adapter false
Effect4.Api.M1Trace.forkScoped_none_forked: 20/20 binders; law Effect4.Api.forkScoped_none_forked; exact true; adapter false
Effect4.Api.M1Trace.fork_forked: 19/19 binders; law Effect4.Api.fork_forked; exact true; adapter false
Effect4.Api.M1Trace.forkedOf_append: 12/12 binders; law Effect4.Api.forkedOf_append; exact true; adapter false
Effect4.Api.M1Trace.launchEntrant_forked: 18/18 binders; law Effect4.Api.launchEntrant_forked; exact true; adapter false
Effect4.Api.M1Trace.spawn_forked: 18/18 binders; law Effect4.Api.spawn_forked; exact true; adapter false
Effect4.Api.M1Trace.start_forked: 16/16 binders; law Effect4.Api.start_forked; exact true; adapter false
Effect4.Machine.ArenaObligations.deferred_cellAt: 3/3 binders; law Effect4.Machine.Arena.deferred_cellAt; exact true; adapter false
Effect4.Machine.ArenaObligations.deferred_make: 2/2 binders; law Effect4.Machine.Arena.deferred_make; exact true; adapter false
Effect4.Machine.ArenaObligations.deferred_setCell: 4/4 binders; law Effect4.Machine.Arena.deferred_setCell; exact true; adapter false
Effect4.Machine.ArenaObligations.list_lawful: 1/1 binders; law Effect4.Machine.Arena.list_lawful; exact true; adapter false
Effect4.Machine.ArenaObligations.peek_toList: 6/6 binders; law Effect4.Machine.Arena.peek_toList; exact true; adapter false
Effect4.Machine.ArenaObligations.refStepOfA_keeps: 13/13 binders; law Effect4.Machine.refStepOfA_keeps; exact true; adapter false
Effect4.Machine.ArenaObligations.refStepOfA_list: 3/3 binders; law Effect4.Machine.refStepOfA_list; exact true; adapter false
Effect4.Machine.ArenaObligations.refStepOfA_size: 9/9 binders; law Effect4.Machine.refStepOfA_size; exact true; adapter false
Effect4.Machine.ArenaObligations.toList_alloc: 6/6 binders; law Effect4.Machine.Arena.toList_alloc; exact true; adapter false
Effect4.Machine.ArenaObligations.toList_empty: 4/4 binders; law Effect4.Machine.Arena.toList_empty; exact true; adapter false
Effect4.Machine.ArenaObligations.toList_length: 5/5 binders; law Effect4.Machine.Arena.toList_length; exact true; adapter false
Effect4.Machine.ArenaObligations.toList_list: 3/3 binders; law Effect4.Machine.Arena.toList_list; exact true; adapter false
Effect4.Machine.ArenaObligations.toList_poke: 7/7 binders; law Effect4.Machine.Arena.toList_poke; exact true; adapter false
Effect4.Machine.ArenaObligations.toList_refStepOf: 6/6 binders; law Effect4.Machine.toList_refStepOf; exact true; adapter false
Effect4.Machine.ArenaSupportWanted.lookup_filterMap: 8/8 binders; law Effect4.Machine.Arena.lookup_filterMap; exact true; adapter false
Effect4.Machine.ArenaSupportWanted.map_some_filterMap: 5/5 binders; law Effect4.Machine.Arena.map_some_filterMap; exact true; adapter false
Effect4.Machine.ArenaSupportWanted.peek_none: 7/7 binders; law Effect4.Machine.Arena.peek_none; exact true; adapter false
Effect4.Machine.M1.CompletionSupport.poll_reads_cell: 4/4 binders; law Effect4.Machine.poll_reads_cell; exact true; adapter false
Effect4.Machine.M1.CompletionSupport.store_lookup_lt: 5/5 binders; law Effect4.Machine.store_lookup_lt; exact true; adapter false
Effect4.Machine.M1.DeferredImageSupportWanted.list_image_iff: 4/4 binders; law Effect4.Machine.Refinement.list_image_iff; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.completionPrim_injective: 0/0 binders; law Effect4.Machine.Refinement.completionPrim_injective; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.deferredOk_iff_image: 1/1 binders; law Effect4.Machine.Refinement.deferredOk_iff_image; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.factors_deferreds: 2/2 binders; law Effect4.Machine.Refinement.factors_deferreds; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.factors_respects_eq: 9/9 binders; law Effect4.Machine.Refinement.factors_respects_eq; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.factors_through_deferreds: 5/5 binders; law Effect4.Machine.Refinement.factors_through_deferreds; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.factors_trans: 9/9 binders; law Effect4.Machine.Refinement.factors_trans; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.map_cancel: 7/7 binders; law Effect4.Machine.DeferredStore.map_cancel; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.map_cellAt: 5/5 binders; law Effect4.Machine.DeferredStore.map_cellAt; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.map_comp: 6/6 binders; law Effect4.Machine.DeferredStore.map_comp; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.map_complete: 6/6 binders; law Effect4.Machine.DeferredStore.map_complete; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.map_drainDue: 4/4 binders; law Effect4.Machine.DeferredStore.map_drainDue; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.map_id: 2/2 binders; law Effect4.Machine.DeferredStore.map_id; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.map_isDone: 5/5 binders; law Effect4.Machine.DeferredStore.map_isDone; exact true; adapter false
Effect4.Machine.M1.DeferredWanted.map_make: 4/4 binders; law Effect4.Machine.DeferredStore.map_make; exact true; adapter false
