# GENERATED by make corpus (tools/Tools/Corpus.lean over Test/Program/Gen.lean and the wire corpus); do not edit
# name	wellTyped	readable	chars	reason	path	codes
g0	false	true	21	notFiber	.	2345
g1	false	true	63	notFiber	1	2345
g2	false	true	84	notFiber	0.0	2345
g3	true	true	22	-	-	-
g4	false	true	18	notFiber	.	2345
g5	false	true	53	cause	.	-
g6	false	true	68	errorNotAdmitted	0.0	-
g7	false	true	381	valueNotSubtype	.	2345|2375|2322
g8	false	true	204	term	0.0.0.0.0.0.0	2345|2769|2554
g9	false	true	537	notFiber	0.0.0	2345
g10	false	true	230	term	0.0	2345|2769|2554
g11	true	true	47	-	-	-
g12	false	true	66	errorNotAdmitted	0.0.0	-
g13	false	true	51	term	0.0.0	2345|2769|2554
g14	false	false	329	term	0.0.0.1.0	2345|2769|2554
g15	true	true	94	-	-	-
g16	true	true	28	-	-	-
g17	false	true	216	term	0.0.0.0.0.0.0	2345|2769|2554
g18	false	true	714	predicateNotBool	0.0.0.0	-
g19	false	false	333	requestNotSubtype	0.0.0	2345|2769
g20	true	true	15	-	-	-
g21	true	true	146	-	-	-
g22	false	true	149	predicateNotBool	.	-
g23	false	false	857	predicateNotBool	0.0.0.0	-
g24	false	true	301	notFiber	0.0	2345
g25	false	false	282	requestNotSubtype	0.0.0.2	2345|2769
g26	false	true	246	requestNotSubtype	0.0.0	2345|2769
g27	false	false	31	requestNotSubtype	.	2345|2769
g28	false	true	203	predicateNotBool	.	-
g29	false	true	17	errorNotAdmitted	.	-
g30	false	false	282	errorNotAdmitted	0.0.1	-
g31	false	true	17	requestNotSubtype	.	2345|2769
g32	false	true	214	term	.	2345|2769|2554
g33	true	true	15	-	-	-
g34	false	true	226	errorNotAdmitted	1.0.0.0	-
g35	false	true	207	term	1	2345|2769|2554
g36	false	true	573	term	0.0.0.0.0.0.0	2345|2769|2554
g37	false	true	37	listOfFibersExpected	0	2345
g38	true	true	16	-	-	-
g39	false	true	361	term	0.0.0	2345|2769|2554
g40	false	true	327	predicateNotBool	0.0.1	-
g41	false	true	21	notFiber	0	2345
g42	false	true	17	requestNotSubtype	.	2345|2769
g43	false	true	15	notFiber	.	2345
g44	true	true	35	-	-	-
g45	false	true	247	predicateNotBool	0.0.0	-
g46	false	true	270	listOfFibersExpected	0.0.0	2345
g47	false	true	376	predicateNotBool	0.1.0	-
g48	false	false	304	notFiber	0.0.0.0	2345
g49	true	true	83	-	-	-
g50	true	true	108	-	-	-
g51	false	true	207	predicateNotBool	0	-
g52	false	true	174	breakOutsideLoop	0.0.0.0.0	1107
g53	true	true	289	-	-	-
g54	true	true	94	-	-	-
g55	true	true	28	-	-	-
g56	false	true	134	predicateNotBool	.	-
g57	true	true	18	-	-	-
g58	false	true	130	notFiber	0.0.0	2345
g59	true	true	21	-	-	-
g60	false	true	38	notFiber	0	2345
g61	false	false	821	requestNotSubtype	0.0.0.0.0.1.1.0	2345|2769
g62	false	true	731	cause	0.0.1.1	-
g63	false	true	445	notFiber	0.0	2345
g64	false	true	531	predicateNotBool	1.0	-
g65	false	false	308	scopeExpected	0	2345
g66	true	true	22	-	-	-
g67	false	true	16	notFiber	.	2345
g68	true	true	32	-	-	-
g69	false	false	406	cause	0.0.1.0.1	-
g70	false	false	31	requestNotSubtype	.	2345|2769
g71	false	true	397	predicateNotBool	.	-
g72	true	true	14	-	-	-
g73	true	true	36	-	-	-
g74	true	true	47	-	-	-
g75	true	true	92	-	-	-
g76	false	false	867	cause	0.0.0.0.0.1	-
g77	false	false	281	cause	0.0.0.0.0.0	-
g78	true	true	93	-	-	-
g79	false	true	546	errorNotAdmitted	0.0.0.0.0.0	-
g80	false	true	18	notFiber	0	2345
g81	true	true	14	-	-	-
g82	false	true	88	listOfFibersExpected	0.0.0	2345
g83	true	true	14	-	-	-
g84	false	true	122	listOfFibersExpected	0.0.0.0	2345
g85	false	true	512	predicateNotBool	.	-
g86	false	true	903	requestNotSubtype	0.0.0.0.0.0.0	2345|2769
g87	false	true	171	notFiber	0.0.1	2345
g88	false	false	605	cause	0.0.0.0	-
g89	true	true	156	-	-	-
g90	false	false	565	predicateNotBool	0.0.0	-
g91	false	false	647	predicateNotBool	0.0.0.0.0	-
g92	false	true	430	requestNotSubtype	0.0.0.0	2345|2769
g93	false	true	232	predicateNotBool	0.0.0.0	-
g94	false	true	22	requestNotSubtype	.	2345|2769
g95	false	false	268	predicateNotBool	.	-
g96	true	true	18	-	-	-
g97	false	true	224	requestNotSubtype	0.0	2345|2769
g98	false	true	496	predicateNotBool	0.0.1.0.0	-
g99	false	true	299	predicateNotBool	.	-
g100	true	true	18	-	-	-
