# GENERATED by `#effect4_print_proof_shape` (Test/Audit/AxiomGate.lean); commit it
# format=proof-shape-v1; the ceiling per library source, never a target
# path	first	simp_all	try
src/Effect4/Api.lean	0	2	0
src/Effect4/Api/Derived.lean	2	0	0
src/Effect4/Api/RunnerDerived.lean	14	0	0
src/Effect4/Codegen/Print.lean	0	1	0
src/Effect4/Codegen/Read.lean	7	2	0
src/Effect4/Codegen/Schema.lean	3	1	0
src/Effect4/Codegen/Target.lean	1	0	0
src/Effect4/Codegen/Templates.lean	1	0	0
src/Effect4/Data/Ascii.lean	0	1	0
src/Effect4/Laws/Api/Frontier.lean	0	1	0
src/Effect4/Laws/Api/HostSession.lean	0	2	1
src/Effect4/Laws/Codegen/Admit.lean	0	1	0
src/Effect4/Laws/Codegen/Checked.lean	0	1	0
src/Effect4/Laws/Codegen/PrintReadable.lean	0	6	0
src/Effect4/Laws/Codegen/ReadPrint.lean	0	4	0
src/Effect4/Laws/Codegen/SourceBindings.lean	0	1	0
src/Effect4/Laws/Machine/Approximation.lean	11	0	16
src/Effect4/Laws/Machine/Book.lean	4	0	0
src/Effect4/Laws/Machine/Clauses.lean	0	1	8
src/Effect4/Laws/Machine/Handles.lean	11	0	34
src/Effect4/Laws/Machine/LiveStack.lean	2	1	1
src/Effect4/Laws/Machine/Scheduling.lean	9	0	3
src/Effect4/Laws/Machine/ScopeMachine.lean	0	2	0
src/Effect4/Laws/Machine/ScopeRestoration.lean	0	4	2
src/Effect4/Laws/Machine/StoresValue.lean	1	0	0
src/Effect4/Laws/Program/Admit.lean	0	1	6
src/Effect4/Laws/Program/Agreement.lean	2	0	0
src/Effect4/Laws/Program/Agreement/Machine.lean	21	1	14
src/Effect4/Laws/Program/Authoring.lean	0	1	2
src/Effect4/Laws/Program/Authoring/Lifts.lean	0	1	0
src/Effect4/Laws/Program/CheckedTyping.lean	0	7	0
src/Effect4/Laws/Program/Decision.lean	0	0	7
src/Effect4/Laws/Program/DenoteR.lean	2	2	19
src/Effect4/Laws/Program/Guard/AnswerDecision.lean	2	0	0
src/Effect4/Laws/Program/Guard/Continuation.lean	0	0	1
src/Effect4/Laws/Program/Guard/ControlRemainder.lean	8	0	0
src/Effect4/Laws/Program/Guard/Core.lean	11	7	12
src/Effect4/Laws/Program/Guard/DeferredCause.lean	6	2	0
src/Effect4/Laws/Program/Guard/FrameOwned.lean	11	2	17
src/Effect4/Laws/Program/Guard/Interruption.lean	16	6	0
src/Effect4/Laws/Program/Guard/NativeQueueTail.lean	0	0	1
src/Effect4/Laws/Program/Guard/NativeState.lean	6	0	6
src/Effect4/Laws/Program/Guard/NativeStateExternal.lean	7	2	3
src/Effect4/Laws/Program/Guard/NativeStateLinks.lean	4	0	1
src/Effect4/Laws/Program/Guard/NativeStateMotion.lean	6	1	1
src/Effect4/Laws/Program/Guard/Observer.lean	5	1	0
src/Effect4/Laws/Program/Guard/OuterDriver.lean	1	0	0
src/Effect4/Laws/Program/Guard/Race.lean	9	0	0
src/Effect4/Laws/Program/Guard/RaceSites.lean	25	3	1
src/Effect4/Laws/Program/Guard/RegistrationDone.lean	2	0	1
src/Effect4/Laws/Program/Guard/RegistrationNested.lean	7	2	0
src/Effect4/Laws/Program/Guard/RegistrationQueue.lean	0	0	3
src/Effect4/Laws/Program/Guard/ReturnCommands.lean	14	3	1
src/Effect4/Laws/Program/Guard/ReturnFields.lean	21	8	0
src/Effect4/Laws/Program/Guard/ReturnTasks.lean	4	2	0
src/Effect4/Laws/Program/Guard/Settle.lean	3	3	5
src/Effect4/Laws/Program/Guard/SettleQueue.lean	4	3	4
src/Effect4/Laws/Program/Guard/Single.lean	0	1	1
src/Effect4/Laws/Program/Hoisting.lean	0	0	1
src/Effect4/Laws/Program/LayerSharing.lean	0	1	0
src/Effect4/Laws/Program/Means.lean	2	0	0
src/Effect4/Laws/Program/Progress.lean	1	0	0
src/Effect4/Laws/Program/ReasonsR.lean	1	0	0
src/Effect4/Laws/Program/ReferenceTyping.lean	1	7	0
src/Effect4/Laws/Program/References.lean	3	0	0
src/Effect4/Laws/Program/RuntimeR.lean	1	0	0
src/Effect4/Laws/Program/Simulation/Deliver.lean	0	0	4
src/Effect4/Laws/Program/Simulation/Drive.lean	0	1	18
src/Effect4/Laws/Program/Simulation/Evaluate.lean	6	0	2
src/Effect4/Laws/Program/Simulation/Hooks.lean	4	0	8
src/Effect4/Laws/Program/Simulation/Pending.lean	1	0	2
src/Effect4/Laws/Program/TypeAlgebra.lean	4	1	35
src/Effect4/Laws/Program/Typed.lean	0	0	0
src/Effect4/Laws/Program/Typing/Check.lean	0	2	0
src/Effect4/Laws/Store/CanonicalSpec.lean	0	1	0
src/Effect4/Machine/Alphabets.lean	1	0	3
src/Effect4/Machine/Frames.lean	2	1	0
src/Effect4/Machine/Supervision.lean	0	5	0
src/Effect4/Machine/Wake.lean	0	1	0
src/Effect4/Program/Admission.lean	0	6	0
src/Effect4/Program/Decision.lean	0	0	3
src/Effect4/Program/Derived.lean	10	0	0
src/Effect4/Program/FoldOf.lean	0	0	1
src/Effect4/Program/LayerView.lean	7	0	0
src/Effect4/Program/Ty.lean	0	3	7
src/Effect4/Program/Typed.lean	16	0	7
src/Effect4/Schema/Annotations.lean	3	0	0
src/Effect4/Schema/EffectfulField.lean	0	0	1
src/Effect4/Schema/Representation.lean	3	1	0
src/Effect4/Store/Canonical.lean	1	0	0
src/Effect4/Store/Derived/Schema.lean	4	0	0
src/Effect4/Store/Derived/Value.lean	1	0	0
src/Effect4/Store/PinDerived.lean	1	0	0
src/Effect4/Store/Shape.lean	0	0	1
