file	name	sigIndex	kind	stability	category	since	dataLast	A	E	R	gradeA	gradeE	gradeR	rowGrade	rShape	rClass	eClass	scopeInR	keys	configReads	keyId	keyKind	hasDefault	fiberCached	defaultText	line	typeSource
Array.ts	Array	0	other	stable	constructors	4.0.0	false	any[]						other				false								50	checker
Array.ts	Array	1	other	stable	constructors	4.0.0	false	T[]						other				false								50	checker
Array.ts	Array	2	other	stable	constructors	4.0.0	false	T[]						other				false								50	checker
Array.ts	Do	0	value	stable	constructors	3.2.0	false	ReadonlyArray<{}>						value				false								9793	syntactic
Array.ts	allocate	0	other	stable	constructors	2.0.0	false	(A | undefined)[]						other				false								176	checker
Array.ts	append	0	other	stable	combining	2.0.0	true	NonEmptyArray<A | B>						other				false								1086	syntactic
Array.ts	append	1	other	stable	combining	2.0.0	false	NonEmptyArray<A | B>						other				false								1086	syntactic
Array.ts	appendAll	0	other	stable	combining	2.0.0	true	ReadonlyArray.OrNonEmpty<S, T, ReadonlyArray.Infer<S> | ReadonlyArray.Infer<T>>						other				false								1161	syntactic
Array.ts	appendAll	1	other	stable	combining	2.0.0	false	NonEmptyArray<A | B>						other				false								1161	syntactic
Array.ts	appendAll	2	other	stable	combining	2.0.0	false	NonEmptyArray<A | B>						other				false								1161	syntactic
Array.ts	appendAll	3	other	stable	combining	2.0.0	false	Array<A | B>						other				false								1161	syntactic
Array.ts	bind	0	other	stable	sequencing	3.2.0	true	Array<{ [K in N | keyof A]: K extends keyof A ? A[K] : B }>						other				false								9828	syntactic
Array.ts	bind	1	other	stable	sequencing	3.2.0	false	Array<{ [K in N | keyof A]: K extends keyof A ? A[K] : B }>						other				false								9828	syntactic
Array.ts	bindTo	0	other	stable	mapping	3.2.0	true	Array<{ [K in N]: A }>						other				false								9932	syntactic
Array.ts	bindTo	1	other	stable	mapping	3.2.0	false	Array<{ [K in N]: A }>						other				false								9932	syntactic
Array.ts	cartesian	0	other	stable	combining	2.0.0	true	Array<[A, B]>						other				false								9696	syntactic
Array.ts	cartesian	1	other	stable	combining	2.0.0	false	Array<[A, B]>						other				false								9696	syntactic
Array.ts	cartesianWith	0	other	stable	combining	2.0.0	true	Array<C>						other				false								9608	syntactic
Array.ts	cartesianWith	1	other	stable	combining	2.0.0	false	Array<C>						other				false								9608	syntactic
Array.ts	chop	0	other	stable	splitting	2.0.0	true	ReadonlyArray.With<S, ReadonlyArray.Infer<S>>						other				false								5574	syntactic
Array.ts	chop	1	other	stable	splitting	2.0.0	false	NonEmptyArray<B>						other				false								5574	syntactic
Array.ts	chop	2	other	stable	splitting	2.0.0	false	Array<B>						other				false								5574	syntactic
Array.ts	chunksOf	0	other	stable	splitting	2.0.0	true	ReadonlyArray.With<S, NonEmptyArray<ReadonlyArray.Infer<S>>>						other				false								6232	syntactic
Array.ts	chunksOf	1	other	stable	splitting	2.0.0	false	NonEmptyArray<NonEmptyArray<A>>						other				false								6232	syntactic
Array.ts	chunksOf	2	other	stable	splitting	2.0.0	false	Array<NonEmptyArray<A>>						other				false								6232	syntactic
Array.ts	contains	0	other	stable	predicates	2.0.0	true	boolean						other				false								5497	syntactic
Array.ts	contains	1	other	stable	predicates	2.0.0	false	boolean						other				false								5497	syntactic
Array.ts	containsWith	0	other	stable	predicates	2.0.0	false	{ (a: A): (self: Iterable<A>) => boolean; (self: Iterable<A>, a: A): boolean; }						other				false								5462	checker
Array.ts	copy	0	other	stable	transforming	2.0.0	false	NonEmptyArray<A>						other				false								6046	syntactic
Array.ts	copy	1	other	stable	transforming	2.0.0	false	Array<A>						other				false								6046	syntactic
Array.ts	countBy	0	other	stable	folding	3.16.0	true	number						other				false								10091	syntactic
Array.ts	countBy	1	other	stable	folding	3.16.0	false	number						other				false								10091	syntactic
Array.ts	dedupe	0	other	stable	deduplication	2.0.0	false	S extends readonly [infer A, ...(infer A)[]] ? [A, ...A[]] : S extends Iterable<infer A> ? A[] : never						other				false								9281	checker
Array.ts	dedupeAdjacent	0	other	stable	deduplication	2.0.0	false	Array<A>						other				false								9416	syntactic
Array.ts	dedupeAdjacentWith	0	other	stable	deduplication	2.0.0	true	Array<A>						other				false								9325	syntactic
Array.ts	dedupeAdjacentWith	1	other	stable	deduplication	2.0.0	false	Array<A>						other				false								9325	syntactic
Array.ts	dedupeWith	0	other	stable	deduplication	2.0.0	true	ReadonlyArray.With<S, ReadonlyArray.Infer<S>>						other				false								9162	syntactic
Array.ts	dedupeWith	1	other	stable	deduplication	2.0.0	false	NonEmptyArray<A>						other				false								9162	syntactic
Array.ts	dedupeWith	2	other	stable	deduplication	2.0.0	false	Array<A>						other				false								9162	syntactic
Array.ts	difference	0	other	stable	set operations	2.0.0	true	Array<A>						other				false								7208	syntactic
Array.ts	difference	1	other	stable	set operations	2.0.0	false	Array<A>						other				false								7208	syntactic
Array.ts	differenceWith	0	other	stable	set operations	2.0.0	false	{ (that: Iterable<A>): (self: Iterable<A>) => A[]; (self: Iterable<A>, that: Iterable<A>): A[]; }						other				false								7170	checker
Array.ts	drop	0	other	stable	getters	2.0.0	true	Array<A>						other				false								2739	syntactic
Array.ts	drop	1	other	stable	getters	2.0.0	false	Array<A>						other				false								2739	syntactic
Array.ts	dropRight	0	other	stable	getters	2.0.0	true	Array<A>						other				false								2828	syntactic
Array.ts	dropRight	1	other	stable	getters	2.0.0	false	Array<A>						other				false								2828	syntactic
