# GENERATED by tools/Tools/RowTypes.lean (Ty.renderRaw over the row tables and the atom table); do not edit
# table	name	shape	receiver	request	answer	error
SqliteBun	sqliteOpen	call		[string]	SqlClient.SqlClient	never
SqliteBun	sqlUnsafe	method	SqlClient.SqlClient	[string, ReadonlyArray<string>]	ReadonlyArray<ReadonlyArray<readonly [string, string]>>	readonly [string, string]
SqliteBun	sqliteClose	call		[SqlClient.SqlClient]	void	never
KeyValueStoreMemory	kvMake	call		[]	KeyValueStore.KeyValueStore	never
KeyValueStoreMemory	kvGet	method	KeyValueStore.KeyValueStore	[string]	Option.Option<string>	readonly [string, string]
KeyValueStoreMemory	kvSet	method	KeyValueStore.KeyValueStore	[string, string]	void	readonly [string, string]
KeyValueStoreMemory	kvRemove	method	KeyValueStore.KeyValueStore	[string]	void	readonly [string, string]
KeyValueStoreMemory	kvHas	method	KeyValueStore.KeyValueStore	[string]	boolean	readonly [string, string]
Host	acquire	call		[]	Host.Resource	never
Host	close	call		[Host.Resource]	void	never
Host	read	call		[Host.Resource]	number	never
Native	refMake	call		[number]	Ref.Ref<number>	never
Native	refGet	call		[Ref.Ref<number>]	number	never
Native	refSet	tupleCall		[Ref.Ref<number>, number]	Ref.Ref<number>	never
Native	refGetAndSet	tupleCall		[Ref.Ref<number>, number]	number	never
Native	refSetAndGet	tupleCall		[Ref.Ref<number>, number]	number	never
Native	refUpdate	call			void	never
Native	refGetAndUpdate	call			number	never
Native	refUpdateAndGet	call			number	never
Native	refUpdateSome	call			void	never
Native	refGetAndUpdateSome	call			number	never
Native	refUpdateSomeAndGet	call			number	never
Native	refModify	call			number	never
Native	refModifySome	call			number	never
Native	deferredMake	call			Deferred.Deferred<number, number>	never
Native	deferredIsDone	call		[Deferred.Deferred<number, number>]	boolean	never
Native	deferredPoll	call		[Deferred.Deferred<number, number>]	boolean	never
Native	deferredSucceed	tupleCall		[Deferred.Deferred<number, number>, number]	boolean	never
Native	deferredFail	tupleCall		[Deferred.Deferred<number, number>, number]	boolean	never
Native	deferredAwait	call		[Deferred.Deferred<number, number>]	number	number
Native	scopeMake	call		[]	Scope.Scope	never
Native	sleep	call		[number]	void	never
Native	clockNow	value			number	never
Atom	succ	mono		[number]	number	
Atom	pred	mono		[number]	number	
Atom	isZero	mono		[number]	boolean	
Atom	not	mono		[boolean]	boolean	
Atom	add	mono		[number, number]	number	
Atom	lt	mono		[number, number]	boolean	
Atom	eq	alts				
Atom	pair	poly				
Atom	fst	custom				
Atom	snd	custom				
Atom	strings	variadic		string[]	ReadonlyArray<string>	
Atom	causeIsFail	custom				
Atom	causeError	custom				
Atom	causeIsDie	custom				
Atom	causeIsInterrupt	custom				
Atom	or	mono		[boolean, boolean]	boolean	
Atom	and	mono		[boolean, boolean]	boolean	
Atom	tagIs	mono		[string, unknown]	boolean	
Atom	isSome	mono		[Option.Option<unknown>]	boolean	
Atom	getOrElse	poly				
Atom	ite	poly				
Atom	some	poly				
Atom	none	mono		[]	Option.Option<never>	
Atom	mul	mono		[number, number]	number	
