# GENERATED by make gen-tsdiag (harness/tsdiag/run-tsdiag.mjs over the printed corpus under Codegen/Diagnostics.lean's pinned host configuration); do not edit
# compiler tsgo 7.0.0-dev.20260629.1, effect 4.0.0-rc.112
# name	wellTyped	reason	path	predicted	observed	side	verdict
g0	false	notFiber	.	2345	2345	-	refused-agree
g1	false	notFiber	1	2345	2345	-	refused-agree
g100	true	-	-	-	-	-	typed-clean
g101	false	cause	1.0.0.0.0	-	2345|2769	-	refused-unmapped
g102	true	-	-	-	-	-	typed-clean
g103	false	term	0.0	2345|2769|2554	2345	-	refused-agree
g104	false	scopeExpected	0	2345	2345	-	refused-agree
g105	true	-	-	-	-	-	typed-clean
g106	false	notFiber	.	2345	2345	-	refused-agree
g107	false	cause	.	-	-	-	refused-silent
g109	true	-	-	-	-	-	typed-clean
g11	true	-	-	-	-	-	typed-clean
g110	false	notFiber	.	2345	2345	-	refused-agree
g111	false	cause	.	-	2345	-	refused-unmapped
g112	false	term	0	2345|2769|2554	2345	-	refused-agree
g113	true	-	-	-	-	-	typed-clean
g114	false	term	0.0	2345|2769|2554	2345	-	refused-agree
g116	false	term	0.0.0	2345|2769|2554	2345	-	refused-agree
g117	true	-	-	-	-	-	typed-clean
g118	true	-	-	-	-	-	typed-clean
g119	false	requestNotSubtype	0.0.1.0	2345|2769	2345	-	refused-agree
g12	false	errorNotAdmitted	0.0.0	-	-	-	refused-silent
g120	true	-	-	-	-	-	typed-clean
g121	true	-	-	-	-	-	typed-clean
g122	true	-	-	-	-	-	typed-clean
g123	true	-	-	-	-	-	typed-clean
g124	false	requestNotSubtype	0.0	2345|2769	2345	-	refused-agree
g126	false	cause	0	-	2345	-	refused-unmapped
g127	false	requestNotSubtype	0.1.0.0	2345|2769	2345|2769	-	refused-agree
g128	false	predicateNotBool	.	-	2345|2769	-	refused-unmapped
g129	false	scopeExpected	1.0.0.0	2345	2345	2872	refused-agree
g13	false	term	0.0.0	2345|2769|2554	2345	-	refused-agree
g130	true	-	-	-	-	-	typed-clean
g131	false	term	0	2345|2769|2554	2345	-	refused-agree
g132	false	notFiber	0.0.0.0	2345	2345	-	refused-agree
g133	false	term	.	2345|2769|2554	-	-	refused-gap
g135	true	-	-	-	-	-	typed-clean
g136	true	-	-	-	-	-	typed-clean
g137	true	-	-	-	-	-	typed-clean
g139	false	term	.	2345|2769|2554	2345	-	refused-agree
g14	false	term	0.0.0.1.0	2345|2769|2554	2345	-	refused-agree
g140	false	exitExpected	0.0	2345	2345	-	refused-agree
g141	false	term	1.0	2345|2769|2554	2345|2379	-	refused-agree
g142	false	predicateNotBool	0.0.0	-	2345	2872	refused-unmapped
g143	false	exitExpected	0	2345	2345	-	refused-agree
g144	true	-	-	-	-	-	typed-clean
g145	true	-	-	-	-	-	typed-clean
g146	true	-	-	-	-	-	typed-clean
g147	false	requestNotSubtype	0.0.0.0.1	2345|2769	2345	-	refused-agree
g148	true	-	-	-	-	-	typed-clean
g149	false	notFiber	.	2345	2345	-	refused-agree
g15	true	-	-	-	-	-	typed-clean
g150	true	-	-	-	-	-	typed-clean
g151	false	term	0.0.0.0	2345|2769|2554	2345	-	refused-agree
g152	false	term	0	2345|2769|2554	2345	-	refused-agree
g153	false	term	1	2345|2769|2554	2345	-	refused-agree
g154	false	requestNotSubtype	0.0.0.0.1	2345|2769	2345	-	refused-agree
g155	false	breakOutsideLoop	0.0.0.0	1107	1107|2345|2769	-	refused-agree
g156	false	valueNotSubtype	0.0.0.0	2345|2375|2322	2345|2375	-	refused-agree
g157	false	breakOutsideLoop	0.0	1107	1107	-	refused-agree
g158	false	requestNotSubtype	0.0.0	2345|2769	-	-	refused-gap
g159	true	-	-	-	-	-	typed-clean
g16	true	-	-	-	-	-	typed-clean
g160	true	-	-	-	-	-	typed-clean
g161	true	-	-	-	-	-	typed-clean
g162	false	predicateNotBool	.	-	2345	2872	refused-unmapped
g163	true	-	-	-	-	-	typed-clean
g165	false	scopeExpected	1.1.0	2345	2739	-	refused-other
g166	false	term	0.0	2345|2769|2554	2345	-	refused-agree
g167	false	valueNotSubtype	0	2345|2375|2322	2345|2769	-	refused-agree
g168	false	term	0.0.0.0	2345|2769|2554	2345	-	refused-agree
g169	false	errorNotAdmitted	0.1.1.0	-	2345	-	refused-unmapped
g17	false	term	0.0.0.0.0.0.0	2345|2769|2554	2345	-	refused-agree
g170	false	predicateNotBool	1.0.0	-	2345	2872	refused-unmapped
g171	false	cause	0.0.0.0.1	-	2345	-	refused-unmapped
g172	true	-	-	-	-	-	typed-clean
g173	false	notFiber	.	2345	2345	-	refused-agree
g174	true	-	-	-	-	-	typed-clean
g175	true	-	-	-	-	-	typed-clean
g176	true	-	-	-	-	-	typed-clean
g178	false	term	.	2345|2769|2554	2345	-	refused-agree
g179	true	-	-	-	-	-	typed-clean
g18	false	predicateNotBool	0.0.0.0	-	2345|2769	2872|2873	refused-unmapped
g180	true	-	-	-	-	-	typed-clean
g181	true	-	-	-	-	-	typed-clean
g182	false	notFiber	0.0.0.0	2345	2345	-	refused-agree
g183	true	-	-	-	-	-	typed-clean
g184	true	-	-	-	-	-	typed-clean
g185	true	-	-	-	-	-	typed-clean
g186	false	cause	0.0.0	-	2345	-	refused-unmapped
g187	false	requestNotSubtype	.	2345|2769	2345	-	refused-agree
g188	false	errorNotAdmitted	0.0.0.0.0.0.0.0	-	-	-	refused-silent
g189	true	-	-	-	-	-	typed-clean
g19	false	requestNotSubtype	0.0.0	2345|2769	2345|2375	-	refused-agree
g190	false	predicateNotBool	0	-	2345	2873	refused-unmapped
g192	false	term	0.0.1.0.1.0.0	2345|2769|2554	2345|2769	-	refused-agree
g193	true	-	-	-	-	-	typed-clean
g195	false	notFiber	0.0	2345	2345	-	refused-agree
g196	false	requestNotSubtype	.	2345|2769	2345	-	refused-agree
g197	false	notFiber	0.0	2345	2345	-	refused-agree
g198	false	listOfFibersExpected	0.0	2345	2345	-	refused-agree
g199	true	-	-	-	-	-	typed-clean
g2	false	notFiber	0.0	2345	2345	-	refused-agree
g20	true	-	-	-	-	-	typed-clean
g200	false	requestNotSubtype	.	2345|2769	2345	-	refused-agree
g201	false	term	.	2345|2769|2554	2345	-	refused-agree
g202	false	term	.	2345|2769|2554	2345	-	refused-agree
g203	false	errorNotAdmitted	0.0.0.0.0	-	-	-	refused-silent
g204	false	term	0.1.0.1	2345|2769|2554	2345|2379	-	refused-agree
g205	false	errorNotAdmitted	0.0.0.1.1	-	2345|2739	-	refused-unmapped
g206	false	notFiber	0	2345	2345	-	refused-agree
g207	false	requestNotSubtype	0.0	2345|2769	2345	-	refused-agree
g208	false	term	1.0.0.0.0.0	2345|2769|2554	2345	-	refused-agree
g209	false	breakOutsideLoop	0.0.0	1107	1107|2345|2769	2872	refused-agree
g21	true	-	-	-	-	-	typed-clean
g210	false	term	0.0.0.0.0.1.0	2345|2769|2554	2345	-	refused-agree
g211	true	-	-	-	-	-	typed-clean
g212	false	notFiber	.	2345	2345	-	refused-agree
g213	true	-	-	-	-	-	typed-clean
g214	false	cause	0.0.0	-	2769	-	refused-unmapped
g215	false	notFiber	0.0	2345	2345	-	refused-agree
g216	false	notFiber	.	2345	2345	-	refused-agree
g217	true	-	-	-	-	-	typed-clean
g218	true	-	-	-	-	-	typed-clean
g219	true	-	-	-	-	-	typed-clean
g22	false	predicateNotBool	.	-	2769	-	refused-unmapped
g220	true	-	-	-	-	-	typed-clean
g221	false	term	0.0.0	2345|2769|2554	2345	-	refused-agree
g222	true	-	-	-	-	-	typed-clean
g223	true	-	-	-	-	-	typed-clean
g224	true	-	-	-	-	-	typed-clean
g225	false	predicateNotBool	.	-	-	2872	refused-silent
g226	false	notFiber	0.1	2345	2345|2375	-	refused-agree
g227	false	term	0.0.0.0.0	2345|2769|2554	2345	-	refused-agree
g228	false	term	.	2345|2769|2554	2345	-	refused-agree
g229	false	predicateNotBool	0	-	2345	2872	refused-unmapped
g230	false	term	0.0.0.1.1.0.1.0.0	2345|2769|2554	2345|2769	-	refused-agree
g231	false	requestNotSubtype	1.0.0.0.0.0.1.0	2345|2769	2345	-	refused-agree
g232	false	term	0	2345|2769|2554	2345	-	refused-agree
g233	false	cause	1	-	2345	-	refused-unmapped
g234	false	notFiber	0.0	2345	2345	-	refused-agree
g235	true	-	-	-	-	-	typed-clean
g236	true	-	-	-	-	-	typed-clean
g237	false	listOfFibersExpected	1.0	2345	2345	-	refused-agree
g238	true	-	-	-	-	-	typed-clean
g239	false	requestNotSubtype	.	2345|2769	2345	-	refused-agree
g241	false	term	.	2345|2769|2554	2345	-	refused-agree
g242	true	-	-	-	-	-	typed-clean
g243	true	-	-	-	-	-	typed-clean
g244	false	notFiber	0.0.0	2345	2345	-	refused-agree
g245	false	notFiber	0	2345	2345	-	refused-agree
g247	true	-	-	-	-	-	typed-clean
g249	false	notFiber	0	2345	2345	-	refused-agree
g25	false	requestNotSubtype	0.0.0.2	2345|2769	2345	-	refused-agree
g250	true	-	-	-	-	-	typed-clean
g251	false	notFiber	0.0.0.0.0.0	2345	2345	-	refused-agree
g252	true	-	-	-	-	-	typed-clean
g253	false	notFiber	0	2345	2345	-	refused-agree
g254	false	predicateNotBool	0	-	2345|2375	2872	refused-unmapped
g255	false	predicateNotBool	0.1.0	-	1345	-	refused-unmapped
g256	true	-	-	-	-	-	typed-clean
g257	false	valueNotSubtype	0.0	2345|2375|2322	-	-	refused-gap
g258	false	term	0	2345|2769|2554	2345	-	refused-agree
g259	false	term	0	2345|2769|2554	2345	-	refused-agree
g26	false	requestNotSubtype	0.0.0	2345|2769	2345	-	refused-agree
g260	true	-	-	-	-	-	typed-clean
g262	false	errorNotAdmitted	0.0.1.0.0	-	-	-	refused-silent
g263	true	-	-	-	-	-	typed-clean
g264	false	predicateNotBool	.	-	2375	2872	refused-unmapped
g265	false	scopeExpected	0.0.0	2345	2345|2375	-	refused-agree
g266	false	term	0.0.0.0.0	2345|2769|2554	2345	-	refused-agree
g267	true	-	-	-	-	-	typed-clean
g268	false	predicateNotBool	.	-	1107|2345	2872	refused-unmapped
g269	true	-	-	-	-	-	typed-clean
g27	false	requestNotSubtype	.	2345|2769	2345	-	refused-agree
g270	false	valueNotSubtype	1.0	2345|2375|2322	2345	-	refused-agree
g271	false	term	0.0.1	2345|2769|2554	2345	-	refused-agree
g272	false	notFiber	0.0.0	2345	2345	-	refused-agree
g273	false	notFiber	0.0.1.0	2345	2345|2375	-	refused-agree
g274	true	-	-	-	-	-	typed-clean
g275	false	listOfFibersExpected	0.0	2345	2345	-	refused-agree
g276	true	-	-	-	-	-	typed-clean
g277	false	requestNotSubtype	0.0.1.0.0.0.0	2345|2769	2345	-	refused-agree
g278	true	-	-	-	-	-	typed-clean
g280	false	errorNotAdmitted	.	-	-	-	refused-silent
g281	false	cause	0	-	2345	-	refused-unmapped
g282	true	-	-	-	-	-	typed-clean
g283	false	breakOutsideLoop	0.0	1107	1107|2345|2769	2872	refused-agree
g284	false	cause	0.0.0.0	-	-	-	refused-silent
g285	false	breakOutsideLoop	0.1.0.0	1107	1107	-	refused-agree
g286	true	-	-	-	-	-	typed-clean
g287	true	-	-	-	-	-	typed-clean
g288	false	exitExpected	0	2345	2345	-	refused-agree
g289	true	-	-	-	-	-	typed-clean
g29	false	errorNotAdmitted	.	-	-	-	refused-silent
g290	true	-	-	-	-	-	typed-clean
g291	true	-	-	-	-	-	typed-clean
g292	false	notFiber	0	2345	2345	-	refused-agree
g293	false	notFiber	0	2345	2345|2769	-	refused-agree
g294	false	requestNotSubtype	0.0.0.0	2345|2769	2345	-	refused-agree
g295	false	errorNotAdmitted	.	-	-	-	refused-silent
g296	false	requestNotSubtype	0.0	2345|2769	2345	-	refused-agree
g297	false	valueNotSubtype	.	2345|2375|2322	2345	-	refused-agree
g298	false	requestNotSubtype	0	2345|2769	2345	-	refused-agree
g3	true	-	-	-	-	-	typed-clean
g30	false	errorNotAdmitted	0.0.1	-	-	-	refused-silent
g300	true	-	-	-	-	-	typed-clean
g301	false	predicateNotBool	0.0.0.0	-	2345	2872	refused-unmapped
g302	false	requestNotSubtype	.	2345|2769	-	-	refused-gap
g304	false	term	.	2345|2769|2554	2345	-	refused-agree
g305	true	-	-	-	-	-	typed-clean
g306	true	-	-	-	-	-	typed-clean
g307	false	predicateNotBool	.	-	2345|2375	2873	refused-unmapped
g308	true	-	-	-	-	-	typed-clean
g309	true	-	-	-	-	-	typed-clean
g31	false	requestNotSubtype	.	2345|2769	2345	-	refused-agree
g310	false	scopeExpected	0.0.0.0	2345	2345|2379	-	refused-agree
g311	false	notFiber	0	2345	2345|2769	2872	refused-agree
g312	false	listOfFibersExpected	0	2345	2345	-	refused-agree
g313	true	-	-	-	-	-	typed-clean
g314	false	listOfFibersExpected	0.0	2345	2345	-	refused-agree
g315	false	requestNotSubtype	0.0.0.0.0	2345|2769	2345	2872	refused-agree
g316	false	listOfFibersExpected	0.0.0.0.1.0	2345	2345	-	refused-agree
g317	true	-	-	-	-	-	typed-clean
g318	false	notFiber	.	2345	2345	-	refused-agree
g319	false	cause	.	-	-	-	refused-silent
g320	false	notFiber	0.0.0	2345	2345	-	refused-agree
g322	false	scopeExpected	1.0	2345	2345	-	refused-agree
g323	false	requestNotSubtype	0.0.0.0.0	2345|2769	2345	-	refused-agree
g324	false	term	0.1.0	2345|2769|2554	2345	-	refused-agree
g325	true	-	-	-	-	-	typed-clean
g326	false	cause	0.0.0.0.0.0.1.0.0	-	2345|2375	2872	refused-unmapped
g327	false	notFiber	0.0.0.0.0.0.0	2345	2345	-	refused-agree
g328	false	term	0.0.0	2345|2769|2554	2345	-	refused-agree
g329	false	valueNotSubtype	0.0	2345|2375|2322	-	-	refused-gap
g33	true	-	-	-	-	-	typed-clean
g330	true	-	-	-	-	-	typed-clean
g331	false	predicateNotBool	.	-	-	2872	refused-silent
g332	false	predicateNotBool	.	-	2345|2769	-	refused-unmapped
g333	false	exitExpected	0.0	2345	2345	-	refused-agree
g334	true	-	-	-	-	-	typed-clean
g335	false	notFiber	0.0	2345	2345	-	refused-agree
g337	false	breakOutsideLoop	0.0.1.0	1107	1107|2345	-	refused-agree
g339	false	errorNotAdmitted	1.0.1	-	2375	-	refused-unmapped
g34	false	errorNotAdmitted	1.0.0.0	-	-	-	refused-silent
g340	false	requestNotSubtype	0.0.0.1.0	2345|2769	2345	-	refused-agree
g341	false	requestNotSubtype	.	2345|2769	-	-	refused-gap
g343	false	errorNotAdmitted	.	-	-	-	refused-silent
g344	true	-	-	-	-	-	typed-clean
g345	false	requestNotSubtype	.	2345|2769	2345	-	refused-agree
g347	true	-	-	-	-	-	typed-clean
g348	false	errorNotAdmitted	0.0	-	-	-	refused-silent
g349	false	requestNotSubtype	1	2345|2769	2345	-	refused-agree
g35	false	term	1	2345|2769|2554	2345	-	refused-agree
g350	false	notFiber	0	2345	2345	-	refused-agree
g351	false	term	0	2345|2769|2554	2345	-	refused-agree
g352	true	-	-	-	-	-	typed-clean
g353	true	-	-	-	-	-	typed-clean
g354	false	requestNotSubtype	0.0.0.0	2345|2769	2345	-	refused-agree
g355	false	term	0	2345|2769|2554	2345	-	refused-agree
g356	false	requestNotSubtype	.	2345|2769	2345	-	refused-agree
g358	true	-	-	-	-	-	typed-clean
g359	true	-	-	-	-	-	typed-clean
g36	false	term	0.0.0.0.0.0.0	2345|2769|2554	2345|2375	-	refused-agree
g361	false	requestNotSubtype	1	2345|2769	2345	-	refused-agree
g362	false	scopeExpected	0.0.0.0	2345	2345	-	refused-agree
g363	true	-	-	-	-	-	typed-clean
g364	false	term	0.0	2345|2769|2554	2345	-	refused-agree
g365	false	errorNotAdmitted	0	-	2345	-	refused-unmapped
g366	true	-	-	-	-	-	typed-clean
g367	true	-	-	-	-	-	typed-clean
g368	true	-	-	-	-	-	typed-clean
g369	true	-	-	-	-	-	typed-clean
g37	false	listOfFibersExpected	0	2345	2345	-	refused-agree
g370	false	predicateNotBool	.	-	2345	2872	refused-unmapped
g371	true	-	-	-	-	-	typed-clean
g372	false	listOfFibersExpected	0.0	2345	2345	-	refused-agree
g373	true	-	-	-	-	-	typed-clean
