lean	ocaml	recursive	Code.let	Code.fun	Code.jp	Code.jmp	Code.cases	Code.return	Code.unreach	LetValue.lit	LetValue.erased	LetValue.proj	LetValue.const	LetValue.fvar	LitValue.nat	LitValue.str	LitValue.uint8	LitValue.uint16	LitValue.uint32	LitValue.uint64	LitValue.usize	Arg.erased	Arg.fvar	Arg.type	Alt.alt	Alt.default	DeclValue.code	DeclValue.extern	declHash
Effect4.Api.run	api_run	false	6	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	10	10	0	0	0	1	0	1435485393349871130
Effect4.Api.replay	api_replay	false	12	0	0	0	1	3	0	0	0	0	12	0	0	0	0	0	0	0	0	2	23	0	3	0	1	0	3320531226156621470
Effect4.Api.evaluate	api_evaluate	false	2	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	7	1	0	0	0	1	0	6503242508184499272
Effect4.Program.interpOf	program_interp_of	false	56	0	0	0	0	1	0	0	0	0	56	0	0	0	0	0	0	0	0	18	66	0	0	0	1	0	12937181589288116239
Effect4.Api.load	api_load	false	27	0	0	0	3	1	0	2	0	0	24	1	2	0	0	0	0	0	0	16	40	0	3	0	1	0	15460075171508989732
Effect4.Machine.replayEval._at_.Effect4.Program.replayCheckedFrom.spec_0	replay_eval_at_program_replay_checked_from_spec_0	true	10	0	0	0	8	6	0	0	0	0	10	0	0	0	0	0	0	0	0	60	22	0	13	0	1	0	13677888701515080893
Effect4.Api.frontierReasons	api_frontier_reasons	false	19	0	1	2	3	3	0	0	0	0	19	0	0	0	0	0	0	0	0	7	22	0	6	0	1	0	4455449711076460887
Effect4.Program.interpOf._lam_0	program_interp_of__lam_0	false	3	0	0	0	2	3	0	0	0	0	3	0	0	0	0	0	0	0	0	8	1	0	2	2	1	0	4670197982487956493
Effect4.Program.interpOf._lam_1	program_interp_of__lam_1	false	19	0	1	2	6	3	0	0	0	0	18	1	0	0	0	0	0	0	0	16	20	0	8	1	1	0	15077034026417401127
Effect4.Program.interpOf._lam_2	program_interp_of__lam_2	false	4	0	0	0	1	2	0	0	0	0	4	0	0	0	0	0	0	0	0	9	5	0	1	1	1	0	10865180526345428689
Effect4.Program.interpOf._lam_3	program_interp_of__lam_3	false	4	0	0	0	1	2	0	0	0	0	4	0	0	0	0	0	0	0	0	9	6	0	1	1	1	0	16039940888010825729
Effect4.Program.interpOf._lam_4	program_interp_of__lam_4	false	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	7	4	0	0	0	1	0	16356600863671645090
Effect4.Program.interpOf._lam_5	program_interp_of__lam_5	false	5	0	1	2	3	4	0	0	0	0	5	0	0	0	0	0	0	0	0	6	4	0	4	3	1	0	16669768605762756765
Effect4.Program.interpOf._lam_6	program_interp_of__lam_6	false	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	7	2	0	0	0	1	0	5826483460818679871
Effect4.Program.interpOf._lam_7	program_interp_of__lam_7	false	4	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	7	4	0	0	0	1	0	10057633389019465870
Effect4.Program.interpOf._lam_8	program_interp_of__lam_8	false	4	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	7	5	0	0	0	1	0	16471994044036777695
Effect4.Program.interpOf._lam_9	program_interp_of__lam_9	false	5	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	8	5	0	0	0	1	0	6626552031203500527
Effect4.Program.interpOf._lam_10	program_interp_of__lam_10	false	36	0	0	0	2	12	0	0	0	0	36	0	0	0	0	0	0	0	0	94	45	0	11	2	1	0	14561791816602826666
Effect4.Program.interpOf._lam_11	program_interp_of__lam_11	false	4	0	0	0	2	4	0	0	0	0	4	0	0	0	0	0	0	0	0	2	4	0	3	2	1	0	4233600541856009990
Effect4.Program.interpOf._lam_12	program_interp_of__lam_12	false	36	0	3	7	16	8	0	0	0	0	36	0	0	0	0	0	0	0	0	38	85	0	24	3	1	0	11959018828580185991
Effect4.Program.interpOf._lam_13	program_interp_of__lam_13	false	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	9593859512524275044
Effect4.Program.interpOf._lam_14	program_interp_of__lam_14	false	5	0	0	0	2	1	0	0	0	0	5	0	0	0	0	0	0	0	0	3	12	0	2	0	1	0	3966369360971798901
Effect4.Program.interpOf._lam_15	program_interp_of__lam_15	false	9	0	1	2	3	1	0	0	0	0	9	0	0	0	0	0	0	0	0	11	18	0	4	0	1	0	225029691121935267
Effect4.Program.interpOf._lam_16	program_interp_of__lam_16	false	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	7047700443040159331
Effect4.Program.interpOf._lam_17	program_interp_of__lam_17	false	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	6438265525881461786
Effect4.Program.interpOf._lam_18	program_interp_of__lam_18	false	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	18295036129395096698
Effect4.Program.interpOf._lam_19	program_interp_of__lam_19	false	16	0	0	0	2	6	0	1	0	0	15	0	1	0	0	0	0	0	0	20	18	0	5	2	1	0	470767989323090418
Effect4.Program.interpOf._lam_20	program_interp_of__lam_20	false	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	7638573018283617322
Effect4.Program.interpOf._lam_21	program_interp_of__lam_21	false	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	12117614052153152608
Effect4.Program.interpOf._lam_22	program_interp_of__lam_22	false	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	16511211475288709193
Effect4.Program.interpOf._lam_23	program_interp_of__lam_23	false	11	0	1	2	4	2	0	1	0	0	10	0	1	0	0	0	0	0	0	4	22	0	6	0	1	0	5833290420205490310
Effect4.Program.interpOf._lam_24	program_interp_of__lam_24	false	5	0	0	0	2	2	0	0	0	0	5	0	0	0	0	0	0	0	0	2	13	0	3	0	1	0	2313295661885467712
Effect4.Program.interpOf._lam_25	program_interp_of__lam_25	false	5	0	0	0	2	2	0	0	0	0	5	0	0	0	0	0	0	0	0	4	7	0	3	0	1	0	3810350034717901534
Effect4.Program.interpOf._lam_26	program_interp_of__lam_26	false	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	1	0	1	0	9174030035742919121
Effect4.Program.interpOf._lam_27	program_interp_of__lam_27	false	3	0	0	0	1	2	0	0	0	0	3	0	0	0	0	0	0	0	0	7	3	0	2	0	1	0	14233458193189420547
Effect4.Program.interpOf._lam_28	program_interp_of__lam_28	false	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	5986142267357718236
Effect4.Program.interpOf._lam_29	program_interp_of__lam_29	false	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	2459560835389969995
Effect4.Program.interpOf._lam_30	program_interp_of__lam_30	false	2	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	10932406809314722586
Effect4.Program.interpOf._lam_31	program_interp_of__lam_31	false	7	0	0	0	1	1	0	1	0	0	5	1	1	0	0	0	0	0	0	2	6	0	1	0	1	0	469240957617380584
Effect4.Program.interpOf._lam_32	program_interp_of__lam_32	false	2	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	858169932764963165
Effect4.Program.interpOf._lam_33	program_interp_of__lam_33	false	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3199482491208136960
Effect4.Program.contAOf	program_cont_aof	false	257	0	1	2	46	84	0	25	0	0	232	0	9	0	16	0	0	0	0	334	337	0	112	18	1	0	12357345256753629307
Effect4.Program.contEOf	program_cont_eof	false	36	0	1	2	8	12	0	4	0	0	30	2	4	0	0	0	0	0	0	59	50	0	16	4	1	0	910052846462410167
Effect4.Program.syncValueAt	program_sync_value_at	false	8	0	0	0	6	6	0	0	0	0	8	0	0	0	0	0	0	0	0	1	5	0	7	4	1	0	1628709010727583264
Effect4.Program.suspendBodyAt	program_suspend_body_at	false	47	0	2	4	14	16	0	2	0	0	45	0	2	0	0	0	0	0	0	66	60	0	26	5	1	0	3529527183200357002
Effect4.Machine.reifyExitVal	reify_exit_val	false	10	0	0	0	2	2	0	2	0	0	7	1	2	0	0	0	0	0	0	4	9	0	3	0	1	0	11119130528610623483
