lean	ocaml	recursive	Code.let	Code.fun	Code.jp	Code.jmp	Code.cases	Code.return	Code.unreach	LetValue.lit	LetValue.erased	LetValue.proj	LetValue.const	LetValue.fvar	LitValue.nat	LitValue.str	LitValue.uint8	LitValue.uint16	LitValue.uint32	LitValue.uint64	LitValue.usize	Arg.erased	Arg.fvar	Arg.type	Alt.alt	Alt.default	DeclValue.code	DeclValue.extern	declHash
Effect4.Machine.Dispatcher.insert._redArg	dispatcher_insert	true	18	0	0	0	4	4	0	0	0	0	18	0	0	0	0	0	0	0	0	35	31	0	7	0	1	0	13496410516090440961
Effect4.Machine.Dispatcher.enqueue._redArg	dispatcher_enqueue	false	3	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	8	5	0	1	0	1	0	12478501020718194042
Effect4.Machine.Dispatcher.drain._redArg	dispatcher_drain	false	8	0	0	0	1	1	0	1	0	0	7	0	1	0	0	0	0	0	0	12	9	0	1	0	1	0	5932509194067731258
Effect4.Machine.RunMachine.update._redArg	run_machine_update	false	3	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	13	13	0	1	0	1	0	1357398055288855138
Effect4.Machine.RunMachine.fiber?._redArg	run_machine_fiber_opt	false	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	16875794996647587081
Effect4.Machine.RunMachine.emit._redArg	run_machine_emit	false	4	0	0	0	2	2	0	0	0	0	4	0	0	0	0	0	0	0	0	24	23	0	3	0	1	0	14150212693949482746
Effect4.Machine.RunMachine.finished._redArg	run_machine_finished	false	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	17748749744915858527
Effect4.Machine.countdownWalk._redArg	countdown_walk	true	11	0	0	0	4	4	0	0	0	0	11	0	0	0	0	0	0	0	0	10	19	0	7	0	1	0	8122022715038079825
Effect4.Machine.interruptRecord._redArg	interrupt_record	false	22	0	1	2	7	4	0	0	0	0	15	7	0	0	0	0	0	0	0	39	80	0	11	0	1	0	14458359603500388872
List.mapTR.loop._at_.Effect4.Machine.Dispatcher.drain.spec_0._redArg	list_map_tr_loop_at_dispatcher_drain_spec_0	true	3	0	0	0	2	2	0	0	0	0	3	0	0	0	0	0	0	0	0	1	5	0	3	0	1	0	16431373586312183879
_private.Init.Data.List.Impl.0.List.flatMapTR.go._at_.Effect4.Machine.Dispatcher.drain.spec_1._redArg	list_flat_map_tr_go_at_dispatcher_drain_spec_1	true	3	0	0	0	1	2	0	0	0	0	3	0	0	0	0	0	0	0	0	1	5	0	2	0	1	0	15780816635787139227
List.mapTR.loop._at_.Effect4.Machine.RunMachine.update.spec_0._redArg	list_map_tr_loop_at_run_machine_update_spec_0	true	4	0	1	2	4	2	0	0	0	0	4	0	0	0	0	0	0	0	0	1	10	0	6	0	1	0	5178187091102092172
List.find?._at_.Effect4.Machine.RunMachine.fiber?.spec_0._redArg	list_find_opt_at_run_machine_fiber_opt_spec_0	true	4	0	0	0	3	3	0	0	0	0	4	0	0	0	0	0	0	0	0	2	5	0	5	0	1	0	16792190366025784677
List.all._at_.Effect4.Machine.RunMachine.finished.spec_0._redArg	list_all_at_run_machine_finished_spec_0	true	3	0	0	0	3	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	5	0	1	0	12045303504661413491
Effect4.Supervision.interruptCause._redArg	supervision_interrupt_cause	false	6	0	1	2	1	1	0	0	0	0	5	1	0	0	0	0	0	0	0	2	8	0	2	0	1	0	5425002489273125764
Effect4.Cause.annotate._redArg	cause_annotate	false	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	4	0	0	0	1	0	18085000996516496406
Effect4.Cause.combine._redArg	cause_combine	false	4	0	0	0	2	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	9	0	4	0	1	0	6483184446495278140
Effect4.Cause.interrupt._redArg	cause_interrupt	false	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	6	4	0	0	0	1	0	9207850800561856016
List.mapTR.loop._at_.Effect4.Cause.annotate.spec_0._redArg	list_map_tr_loop_at_cause_annotate_spec_0	true	4	0	0	0	1	2	0	0	0	0	4	0	0	0	0	0	0	0	0	1	10	0	2	0	1	0	7182849168057335337
Effect4.Cause.dedup._redArg	cause_dedup	true	5	0	0	0	1	2	0	0	0	0	5	0	0	0	0	0	0	0	0	2	15	0	2	0	1	0	16833849552514014968
Effect4.Reason.annotate._redArg	reason_annotate	false	6	0	0	0	1	3	0	0	0	0	6	0	0	0	0	0	0	0	0	12	15	0	3	0	1	0	5088107103815554821
Effect4.Cause.dedup._redArg._lam_0	cause_dedup__red_arg__lam_0	false	3	0	0	0	1	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	6	0	2	0	1	0	18184455622027487933
List.filterTR.loop._redArg	list_filter_tr_loop	true	5	0	0	0	2	3	0	0	0	0	4	1	0	0	0	0	0	0	0	1	10	0	4	0	1	0	16596727924625328097
_private.Effect4.Machine.Cause.0.Effect4.ReasonAnnotations.annotateEntries._redArg	reason_annotations_annotate_entries	false	4	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	1	9	0	0	0	1	0	3304448200719879409
Effect4.instDecidableEqReason.decEq._redArg	inst_decidable_eq_reason_dec_eq	false	9	0	0	0	7	9	0	0	0	0	7	2	0	0	0	0	0	0	0	0	16	0	12	3	1	0	16710702113939345489
List.mapTR.loop._at_._private.Effect4.Machine.Cause.0.Effect4.ReasonAnnotations.annotateEntries.spec_0._redArg	list_map_tr_loop_at__private_effect4_machine_cause_0_effect4_reason_annotations_annotate_entries_spec_0	true	5	0	1	3	4	2	0	0	0	0	5	0	0	0	0	0	0	0	0	3	14	0	7	0	1	0	5635981845798543759
