witness	key	native	byte	jsoo	jsoo-nostr
w_block	boxed_float	blk:253/1	blk:253/1	imm:1.5	imm:1.5
w_block	closure	blk:247/2	blk:247/2	blk:247/0	blk:247/0
w_boxed	nativeint_size	64	64	32	32
w_boxed	nativeint_max	9223372036854775807	9223372036854775807	2147483647	2147483647
w_boxed	nativeint_max_succ	-9223372036854775808	-9223372036854775808	-2147483648	-2147483648
w_boxed	int64_of_int_max	4611686018427387903	4611686018427387903	2147483647	2147483647
w_boxed	int64_to_int_big	4611686018427387903	4611686018427387903	-1	-1
w_boxed	int32_tag	255	255	1000	1000
w_boxed	nativeint_tag	255	255	1000	1000
w_compare	phys_tuple	true	false	false	false
w_compare	hash_int_max	952257787	952257787	911466517	911466517
w_compare	hash_neg0	256347020	256347020	129913994	129913994
w_compare	hash_zero	256347020	256347020	129913994	129913994
w_float	int_of_float_big_fold	1000000000000000000	1000000000000000000	2147483647	2147483647
w_float	int_of_float_big_rt	1000000000000000000	1000000000000000000	-1486618624	-1486618624
w_float	float_of_int_max	4.6116860184273879e+18	4.6116860184273879e+18	2147483647	2147483647
w_float	float_of_int_max_bits	43d0000000000000	43d0000000000000	41dfffffffc00000	41dfffffffc00000
w_float	nan_bits	7ff8000000000000	7ff8000000000000	7ff0000000000001	7ff0000000000001
w_float	float_tag	253	253	1000	1000
w_int	int_size	63	63	32	32
w_int	max_int	4611686018427387903	4611686018427387903	2147483647	2147483647
w_int	min_int	-4611686018427387904	-4611686018427387904	-2147483648	-2147483648
w_int	add_2p31m1_1	2147483648	2147483648	-2147483648	-2147483648
w_int	add_max_1	-4611686018427387904	-4611686018427387904	-2147483648	-2147483648
w_int	sub_min_1	4611686018427387903	4611686018427387903	2147483647	2147483647
w_int	mul_overflow	4294967296	4294967296	0	0
w_int	mul_big	121932631112635269	121932631112635269	-67153019	-67153019
w_int	neg_min	-4611686018427387904	-4611686018427387904	-2147483648	-2147483648
w_int	div_min_m1	-4611686018427387904	-4611686018427387904	-2147483648	-2147483648
w_int	lsr_neg1_1	4611686018427387903	4611686018427387903	2147483647	2147483647
w_int	lsr_neg7_1	4611686018427387900	4611686018427387900	2147483644	2147483644
w_int	lsl_1_31	2147483648	2147483648	-2147483648	-2147483648
w_int	lsl_1_32	4294967296	4294967296	1	1
w_int	lsl_1_62	-4611686018427387904	-4611686018427387904	1073741824	1073741824
w_int	abs_min	-4611686018427387904	-4611686018427387904	-2147483648	-2147483648
w_int	int_of_string_2p31	2147483648	2147483648	Failure:int_of_string	Failure:int_of_string
w_int	succ_max	-4611686018427387904	-4611686018427387904	-2147483648	-2147483648
w_string	string_phys_eq	false	false	true	false
